
Client Version = 13081901
Client Build Code = 13081901
Internet Explorer Ver. = 9.11.19041.0
WindowMode = 5(0)
TW13081901 caused an Access Violation in module TW13081901.bin at 0023:005aa286.
2130706433 4294967176 87 0 (32512 32896)
Error occurred at 12/20/2023 23:39:48.
D:\ぱ绑盡#而ヅ胕\3.81代刚胕\TW13081901.bin, run by user01.
4 processor(s), type 586.
Cpu Vendor = AuthenticAMD   [Signature = 810f81]
CPU Features = 178bfbff
This CPU has a floating point unit
This CPU supports MMX instructions
OS Version = 6.2 (9200)
33500164 total KB of physical memory.
18834128 free  KB of physical memory.

Registers:
EAX=00002c00 CS=0023 EIP=005aa286 EFLGS=00210256
EBX=004df150 SS=002b ESP=0019ed14 EBP=0019ed80
ECX=00000000 DS=002b ESI=00000057 FS=0053
EDX=1fd3b698 ES=002b EDI=00000401 GS=002b
Bytes at CS:EIP:
0f bf 14 08 81 f2 51 19 00 00 89 55 ec 83 7d ec 
Stack dump:
0019ed14: ddc74762 00000057 0637ee30 0019ed40 1fd3b698 053d0000 00000000 00000020
0019ed34: 00000401 004df150 0637edf0 0019ed5c 005822ae ddc747be 00000057 00000401
0019ed54: 0019ed6c 005b081c 1a989b94 00c2d320 0019ed70 005b0c8f 00c2d320 00000000
0019ed74: 0019ef04 0089026b ffffffff 0019ef10 005ad4bf 00000000 ddc745f2 00000401
0019ed94: 00000057 004df150 1f28c478 1fd3b698 00000001 00000000 00000000 1f28c448
0019edb4: 00000009 00000000 0019eddc 72736abd 1f28c448 ffffbea2 00000006 1fd3b698
0019edd4: 1fd3b698 004df150 0019ee28 0059226e 0059228a 00000001 00000008 00000000
0019edf4: 00000008 00080000 00000401 00000057 004df150 1f27d358 00000000 00000000
0019ee14: 00000020 0059000b 0019eeb8 1fd53110 77976de3 1fd53110 00000000 00000028
0019ee34: 00000000 053d0000 1703ce80 1ae2e258 0019ef5c 00792f78 007930b8 1b5160a8
0019ee54: 00000030 030907d0 00000064 77975de0 00000030 00000000 1f9f4228 1fd51ed0
0019ee74: 00000000 00000000 03090000 00000002 00000000 00000006 03090000 030901d0
0019ee94: 00000008 00000028 0309089c 00000000 053d0000 03090898 00000009 0019eed0
0019eeb4: 77975e1e 053d0000 77975e1e 00000008 00000000 77975de0 00000000 1fd53118
0019eed4: 053d0000 0019eefc 714e6f4c 71516750 00000401 ddc745f2 714e6dc0 00000072
0019eef4: 55b04c74 1fd3b698 0000001c 0019ed8c 0019f130 0089035e ffffffff 0019ef68
0019ef14: 004e6507 ffffbea2 00000006 40000035 000053f0 00000000 00000000 00000000
0019ef34: 00000000 00000001 00000000 1fd53110 00000000 00000000 00000000 00000000
0019ef54: 00000000 00000000 ffffffff 00000000 40000035 0019efa4 004eac79 00000002
0019ef74: 16df99e8 18832138 00000001 0000cc07 727238b3 16df99e8 16df99e8 18832138
0019ef94: 18832138 00000002 12171fc8 01579e55 0019f13c 005acc70 00000000 00007e8a
0019efb4: 00008098 ddc75bde 00000401 00000057 004df150 0019efdc 00800800 00000000
0019efd4: 50000000 50000000 00000000 0019f05c 76025613 ffffe000 00000000 00000060
0019eff4: 12080000 7710421c 75820bb6 54013270 00000001 00000000 54013270 0120a138
0019f014: 0e64fd18 ff543270 ffffffff 000043a8 00015401 00ff00ff 000000bb ff543270
0019f034: ffffffff 000043a8 00015401 010206e0 00000000 00003270 7798c16b 08c895c8
0019f054: 00000020 00000002 00000020 03700185 0019f100 18389a48 77976de3 18389a48
0019f074: 00000000 00000030 00000000 053d0000 0e64fe20 715177ac 7f72a394 fffffffe
0019f094: 0019f0b8 7798c091 00000038 030907d0 00000064 00000000 00000038 0e64fd10
0019f0b4: 18343c70 1837da98 00000000 00000000 03090000 00000002 00000000 00000007
0019f0d4: 03090000 030901d4 00000008 00000030 03090a3c 00000000 053d0000 03090a38
0019f0f4: 0019f4cc 0019f11c 77975e1e 053d0000 77975e1e 00000008 00000000 77975de0
0019f114: ddc75bde 00000000 18389a58 053d0000 0019f148 004e6f4c 0019efb8 0019f58c
0019f134: 0089035e ffffffff 0019f598 0052442a 00007e86 000080ae 0001230a 00000000
0019f154: 00000004 00000005 00000005 00000000 005a1298 000000a9 18389bd0 18389a48
0019f174: 00000006 0001271f 18398c18 18398af8 000000a0 000000ff 00000000 ddc75f7a
0019f194: 00000057 06499ab0 06499ab0 4c2ce7ac 00000000 06499ac8 06499ae0 00000000
0019f1b4: 00000008 00000030 06499adc 0019f208 76f03613 011d0000 00000000 06499ab0
0019f1d4: 00000001 00000001 06499ab0 0001484a 0019f218 6b53f0d5 0019f200 0019f1d4
0019f1f4: 0803b240 0019f260 76f34d00 03c39fd4 fffffffe 0803b240 0019f2d4 6b54ddcf
0019f214: 6b54d8cc 00000000 07feb778 6b54dfd0 011d47a0 06bd2020 07feb778 0e3446d8
0019f234: 00000001 00000840 00000000 00000000 00000000 080398a0 00000000 00000000
0019f254: 00000001 011d47a0 011d47a0 0019f2c8 71813452 01208dd0 0019f2c8 718174e0
0019f274: 011d47a0 0019f330 0e3a1c48 011d47a0 6b57a0c0 00000002 0019f308 01209af0
